"time";"reports"
1948,0274;3762
1948,0466;3301
1948,0658;3454
1948,0849;4222
1948,1041;5604
1948,1233;6218
1948,1425;7216
1948,1616;7370
1948,1781;8828
1948,1973;8521
1948,2164;10056
1948,2356;9365
1948,2548;10901
1948,274;11285
1948,2932;9749
1948,3123;9135
1948,3315;10210
1948,3507;10210
1948,3699;11975
1948,389;11745
1948,4082;13511
1948,4274;10901
1948,4466;12283
1948,4658;10670
1948,4849;10670
1948,5041;9058
1948,5233;8905
1948,5425;9519
1948,5616;8521
1948,5808;8291
1948,6;6909
1948,6192;5911
1948,6384;4606
1948,6575;3762
1948,6767;2994
1948,6959;2610
1948,7151;2610
1948,7342;2687
1948,7534;3531
1948,7726;4069
1948,7918;4529
1948,811;5297
1948,8301;6218
1948,8493;6218
1948,8685;6986
1948,8877;6986
1948,9068;8598
1948,926;8598
1948,9452;10133
1948,9644;9826
1948,9836;8982
1949,0027;11208
1949,0219;13279
1949,0411;11053
1949,0603;10311
1949,0795;11721
1949,0986;13872
1949,1178;18472
1949,137;19584
1949,1562;20104
1949,1753;18694
1949,1945;17359
1949,2137;16320
1949,2329;15356
1949,2521;15875
1949,2712;14762
1949,2904;13130
1949,3096;13575
1949,3288;11498
1949,3479;9273
1949,3671;8383
1949,3863;8531
1949,4055;9644
1949,4247;9792
1949,4438;9273
1949,463;9199
1949,4822;6899
1949,5014;6973
1949,5205;5564
1949,5397;5415
1949,5589;5044
1949,5781;4303
1949,5973;3709
1949,6164;3264
1949,6356;2151
1949,6548;1780
1949,674;1187
1949,6932;890
1949,7123;668
1949,7315;668
1949,7507;816
1949,7699;964
1949,789;964
1949,8082;1039
1949,8274;1039
1949,8466;1113
1949,8658;1039
1949,8849;1335
1949,9041;1484
1949,9233;1706
1949,9425;1632
1949,9616;1780
1949,9808;1706
1950;2003
1950,0192;2993
1950,0384;2993
1950,0575;2993
1950,0767;3265
1950,0959;4535
1950,1151;5442
1950,1342;5804
1950,1534;6439
1950,1726;5986
1950,1918;7074
1950,211;NA
1950,2301;7346
1950,2493;8072
1950,2685;7074
1950,2877;10158
1950,3068;8797
1950,326;8162
1950,3452;8072
1950,3644;9341
1950,3836;11337
1950,4027;12062
1950,4219;12969
1950,4411;13785
1950,4603;11337
1950,4795;11699
1950,4986;11427
1950,5178;11518
1950,537;11971
1950,5562;11246
1950,5753;10611
1950,5945;10248
1950,6137;8253
1950,6329;7074
1950,6521;5532
1950,6712;4353
1950,6904;3265
1950,7096;3174
1950,7288;3446
1950,7479;3809
1950,7671;4988
1950,7863;6439
1950,8055;7527
1950,8247;8525
1950,8438;10067
1950,863;11337
1950,8822;13060
1950,9014;14601
1950,9205;15780
1950,9397;18864
1950,9589;18320
1950,9781;18501
1950,9973;22401
1951,0164;21682
1951,0356;18720
1951,0548;15995
1951,074;15995
1951,0932;16350
1951,1123;21682
1951,1315;24644
1951,1507;27843
1951,1699;29264
1951,189;29146
1951,2082;31871
1951,2274;27843
1951,2466;31278
1951,2658;28790
1951,2849;22629
1951,3041;19075
1951,3233;18009
1951,3425;18364
1951,3616;19904
1951,3808;18483
1951,4;19194
1951,4192;15639
1951,4384;14810
1951,4575;12203
1951,4767;11374
1951,4959;10071
1951,5151;8530
1951,5342;7701
1951,5534;6279
1951,5726;5213
1951,5918;4976
1951,611;3673
1951,6301;3199
1951,6493;2370
1951,6685;1896
1951,6877;1422
1951,7068;1185
1951,726;1066
1951,7452;1303
1951,7644;1422
1951,7836;1659
1951,8027;1777
1951,8219;2014
1951,8411;2014
1951,8603;1896
1951,8795;2133
1951,8986;2014
1951,9178;2370
1951,937;2370
1951,9562;2488
1951,9753;2370
1951,9945;2370
1952,0137;3445
1952,0329;2846
1952,0521;2771
1952,0712;2846
1952,0904;3370
1952,1096;4419
1952,1288;4943
1952,1479;5692
1952,1644;6141
1952,1836;6815
1952,2027;7040
